"PROBEID","SYMBOL","GENENAME"
"63","1552323_s_at","FAM122C","family with sequence similarity 122C"
"64","1552325_at","CFAP53","cilia and flagella associated protein 53"
"65","1552326_a_at","CFAP53","cilia and flagella associated protein 53"
"66","1552327_at","ARMCX4","armadillo repeat containing X-linked 4"
"67","1552329_at","RBBP6","RB binding protein 6, ubiquitin ligase"
"68","1552330_at","CENPBD1","CENPB DNA-binding domain containing 1"
"69","1552332_at","TRIOBP","TRIO and F-actin binding protein"
"70","1552334_at","TRIOBP","TRIO and F-actin binding protein"
"71","1552335_at","CATSPER1","cation channel sperm associated 1"
"72","1552337_s_at","HOXD4","homeobox D4"
"73","1552338_at","GSC","goosecoid homeobox"
"74","1552340_at","SP7","Sp7 transcription factor"
"75","1552343_s_at","PDE7A","phosphodiesterase 7A"
"76","1552344_s_at","CNOT7","CCR4-NOT transcription complex subunit 7"
"77","1552347_at","CRYZL1","crystallin zeta like 1"
"78","1552348_at","PRSS33","serine protease 33"
"79","1552349_a_at","PRSS33","serine protease 33"
"80","1552354_at","CBARP","CACN subunit beta associated regulatory protein"
"81","1552355_s_at","CBARP","CACN subunit beta associated regulatory protein"
"82","1552359_at","MCMDC2","minichromosome maintenance domain containing 2"
"83","1552360_a_at","TIRAP","TIR domain containing adaptor protein"
"84","1552362_a_at","LEAP2","liver enriched antimicrobial peptide 2"
"85","1552364_s_at","MSI2","musashi RNA binding protein 2"
"86","1552365_at","SCIN","scinderin"
"87","1552367_a_at","SCIN","scinderin"
"88","1552368_at","CTCFL","CCCTC-binding factor like"
"89","1552370_at","C4orf33","chromosome 4 open reading frame 33"
"90","1552372_at","C4orf33","chromosome 4 open reading frame 33"
"91","1552373_s_at","C4orf33","chromosome 4 open reading frame 33"
"92","1552375_at","ZNF333","zinc finger protein 333"
"93","1552377_s_at","TVP23C","trans-golgi network vesicle protein 23 homolog C"
"94","1552378_s_at","RDH10","retinol dehydrogenase 10"
"95","1552379_at","RDH10","retinol dehydrogenase 10"
"96","1552381_at","SRSF12","serine and arginine rich splicing factor 12"
"97","1552383_at","FAM71A","family with sequence similarity 71 member A"
"98","1552384_a_at","FAM71A","family with sequence similarity 71 member A"
"99","1552386_at","GAPT","GRB2 binding adaptor protein, transmembrane"
"100","1552388_at","SCUBE1","signal peptide, CUB domain and EGF like domain containing 1"
"101","1552388_at","FLJ30901","uncharacterized protein FLJ30901"
"102","1552389_at","ERICH5","glutamate rich 5"
"103","1552390_a_at","ERICH5","glutamate rich 5"
"104","1552391_at","CCDC185","coiled-coil domain containing 185"
"105","1552393_at","ENTHD1","ENTH domain containing 1"
"106","1552394_a_at","ENTHD1","ENTH domain containing 1"
"107","1552395_at","TSSK3","testis specific serine kinase 3"
"108","1552396_at","WFDC6","WAP four-disulfide core domain 6"
"109","1552398_a_at","CLEC12A","C-type lectin domain family 12 member A"
"110","1552399_a_at","BRF1","BRF1 RNA polymerase III transcription initiation factor subunit"
"111","1552400_a_at","TMEM266","transmembrane protein 266"
"112","1552401_a_at","BACH1","BTB domain and CNC homolog 1"
"113","1552401_a_at","GRIK1-AS2","GRIK1 antisense RNA 2"
"114","1552402_at","CALML6","calmodulin like 6"
"115","1552405_at","NLRP5","NLR family pyrin domain containing 5"
"116","1552408_at","ODF4","outer dense fiber of sperm tails 4"
"117","1552409_a_at","ODF4","outer dense fiber of sperm tails 4"
"118","1552410_at","CLEC4F","C-type lectin domain family 4 member F"
"119","1552411_at","DEFB106A","defensin beta 106A"
"120","1552411_at","DEFB106B","defensin beta 106B"
"121","1552412_a_at","DEFB106A","defensin beta 106A"
"122","1552412_a_at","DEFB106B","defensin beta 106B"
"123","1552414_at","WFDC9","WAP four-disulfide core domain 9"
"124","1552415_a_at","WFDC9","WAP four-disulfide core domain 9"
"125","1552417_a_at","NEDD1","NEDD1 gamma-tubulin ring complex targeting factor"
"126","1552418_at","TTLL10","tubulin tyrosine ligase like 10"
"127","1552419_s_at","TTLL10","tubulin tyrosine ligase like 10"
"128","1552421_a_at","CALR3","calreticulin 3"
"129","1552422_at","C10orf25","chromosome 10 open reading frame 25"
"130","1552423_at","ETV3","ETS variant 3"
"131","1552424_at","KLHL10","kelch like family member 10"
"132","1552425_a_at","KLHL10","kelch like family member 10"
"133","1552426_a_at","TM2D3","TM2 domain containing 3"
"134","1552427_at","ZNF485","zinc finger protein 485"
"135","1552430_at","WDR17","WD repeat domain 17"
"136","1552432_at","MFSD6L","major facilitator superfamily domain containing 6 like"
"137","1552436_a_at","CDH23","cadherin related 23"
"138","1552438_a_at","ANKAR","ankyrin and armadillo repeat containing"
"139","1552439_s_at","MEGF11","multiple EGF like domains 11"
"140","1552440_at","GPR182","G protein-coupled receptor 182"
"141","1552445_a_at","ESX1","ESX homeobox 1"
"142","1552448_a_at","FAM167A-AS1","FAM167A antisense RNA 1"
"143","1552449_a_at","SCGB1C1","secretoglobin family 1C member 1"
"144","1552449_a_at","SCGB1C2","secretoglobin family 1C member 2"
"145","1552450_a_at","DNAJC5G","DnaJ heat shock protein family (Hsp40) member C5 gamma"
"146","1552452_at","WDR88","WD repeat domain 88"
"147","1552453_a_at","WDR88","WD repeat domain 88"
"148","1552455_at","PRUNE2","prune homolog 2 with BCH domain"
"149","1552456_a_at","MBD3L2","methyl-CpG binding domain protein 3 like 2"
"150","1552457_a_at","ADAMTSL1","ADAMTS like 1"
"151","1552458_at","MBD3L1","methyl-CpG binding domain protein 3 like 1"
"152","1552459_a_at","MBD3L1","methyl-CpG binding domain protein 3 like 1"
"153","1552461_at","TENT5D","terminal nucleotidyltransferase 5D"
"154","1552463_at","SERPINB11","serpin family B member 11 (gene/pseudogene)"
"155","1552466_x_at","LINC00161","long intergenic non-protein coding RNA 161"
"156","1552467_at","DSCR10","Down syndrome critical region 10"
"157","1552468_a_at","DSCR10","Down syndrome critical region 10"
"158","1552470_a_at","ABHD11","abhydrolase domain containing 11"
"159","1552472_a_at","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
"160","1552473_at","GAMT","guanidinoacetate N-methyltransferase"
"161","1552474_a_at","GAMT","guanidinoacetate N-methyltransferase"
"162","1552476_s_at","PLCD3","phospholipase C delta 3"
"163","1552477_a_at","IRF6","interferon regulatory factor 6"
"164","1552478_a_at","IRF6","interferon regulatory factor 6"
"165","1552480_s_at","PTPRC","protein tyrosine phosphatase receptor type C"
"166","1552481_s_at","MAN1A2","mannosidase alpha class 1A member 2"
"167","1552482_at","RAPH1","Ras association (RalGDS/AF-6) and pleckstrin homology domains 1"
"168","1552484_at","SMCR8","SMCR8-C9orf72 complex subunit"
"169","1552485_at","LACTB","lactamase beta"
"170","1552486_s_at","LACTB","lactamase beta"
"171","1552487_a_at","BNC1","basonuclin 1"
"172","1552489_s_at","MPP4","membrane palmitoylated protein 4"
"173","1552490_at","AFG1L","AFG1 like ATPase"
"174","1552491_at","IDI2","isopentenyl-diphosphate delta isomerase 2"
"175","1552493_s_at","CYP11B1","cytochrome P450 family 11 subfamily B member 1"
"176","1552494_at","TAF8","TATA-box binding protein associated factor 8"
"177","1552496_a_at","COBL","cordon-bleu WH2 repeat protein"
"178","1552497_a_at","SLAMF6","SLAM family member 6"
"179","1552498_at","ZSCAN20","zinc finger and SCAN domain containing 20"
"180","1552499_a_at","ZSCAN20","zinc finger and SCAN domain containing 20"
"181","1552501_a_at","GPBAR1","G protein-coupled bile acid receptor 1"
"182","1552502_s_at","RHBDL2","rhomboid like 2"
"183","1552503_at","FRAS1","Fraser extracellular matrix complex subunit 1"
"184","1552504_a_at","BRSK1","BR serine/threonine kinase 1"
"185","1552506_at","CRB2","crumbs cell polarity complex component 2"
"186","1552507_at","KCNE4","potassium voltage-gated channel subfamily E regulatory subunit 4"
"187","1552508_at","KCNE4","potassium voltage-gated channel subfamily E regulatory subunit 4"
"188","1552509_a_at","CD300LG","CD300 molecule like family member g"
"189","1552510_at","SLC34A3","solute carrier family 34 member 3"
"190","1552511_a_at","CPA6","carboxypeptidase A6"
"191","1552514_at","WBP2NL","WBP2 N-terminal like"
"192","1552515_at","HIPK1","homeodomain interacting protein kinase 1"
"193","1552516_a_at","HIPK1","homeodomain interacting protein kinase 1"
"194","1552518_s_at","MTBP","MDM2 binding protein"
"195","1552519_at","ACVR1C","activin A receptor type 1C"
"196","1552520_at","TMEM74","transmembrane protein 74"
"197","1552521_a_at","TMEM74","transmembrane protein 74"
"198","1552522_at","TIGD4","tigger transposable element derived 4"
"199","1552523_a_at","TIGD4","tigger transposable element derived 4"
"200","1552524_at","ART5","ADP-ribosyltransferase 5"
"201","1552526_at","FAM71C","family with sequence similarity 71 member C"
"202","1552528_at","LINC01547","long intergenic non-protein coding RNA 1547"
"203","1552531_a_at","NLRP11","NLR family pyrin domain containing 11"
"204","1552532_a_at","ATP6V1C2","ATPase H+ transporting V1 subunit C2"
"205","1552535_at","CLDN19","claudin 19"
"206","1552536_at","VTI1A","vesicle transport through interaction with t-SNAREs 1A"
"207","1552538_a_at","KIF6","kinesin family member 6"
"208","1552540_s_at","IQCD","IQ motif containing D"
"209","1552541_at","TAGAP","T cell activation RhoGTPase activating protein"
"210","1552542_s_at","TAGAP","T cell activation RhoGTPase activating protein"
"211","1552543_a_at","STON2","stonin 2"
"212","1552544_at","SERPINA12","serpin family A member 12"
"213","1552546_a_at","LETM2","leucine zipper and EF-hand containing transmembrane protein 2"
"214","1552548_at","BSND","barttin CLCNK type accessory beta subunit"
"215","1552549_a_at","BSND","barttin CLCNK type accessory beta subunit"
"216","1552552_s_at","CLEC4C","C-type lectin domain family 4 member C"
"217","1552553_a_at","NLRC4","NLR family CARD domain containing 4"
"218","1552554_a_at","NLRC4","NLR family CARD domain containing 4"
"219","1552555_at","PRSS36","serine protease 36"
"220","1552557_a_at","ZDHHC15","zinc finger DHHC-type containing 15"
"221","1552558_a_at","RAI1","retinoic acid induced 1"
"222","1552559_a_at","CDK15","cyclin dependent kinase 15"
"223","1552562_at","ZNF570","zinc finger protein 570"
"224","1552563_a_at",NA,NA
"225","1552564_at","NUDT9P1","nudix hydrolase 9 pseudogene 1"
"226","1552566_at","BTBD16","BTB domain containing 16"
"227","1552568_at","RTP3","receptor transporter protein 3"
"228","1552569_a_at","RTP3","receptor transporter protein 3"
"229","1552570_at","TSPEAR","thrombospondin type laminin G domain and EAR repeats"
"230","1552572_a_at","MIPOL1","mirror-image polydactyly 1"
"231","1552573_s_at","MIPOL1","mirror-image polydactyly 1"
"232","1552575_a_at","C6orf141","chromosome 6 open reading frame 141"
"233","1552576_at","ALMS1P1","ALMS1 pseudogene 1"
"234","1552578_a_at","MYO3B","myosin IIIB"
"235","1552579_a_at","ADAM21","ADAM metallopeptidase domain 21"
"236","1552580_at","TRIML2","tripartite motif family like 2"
"237","1552582_at","ABCC13","ATP binding cassette subfamily C member 13 (pseudogene)"
"238","1552583_s_at","ABCC13","ATP binding cassette subfamily C member 13 (pseudogene)"
"239","1552584_at","IL12RB1","interleukin 12 receptor subunit beta 1"
"240","1552585_s_at","GTF2A1L","general transcription factor IIA subunit 1 like"
"241","1552586_at","TRPV3","transient receptor potential cation channel subfamily V member 3"
"242","1552587_at","CNBD1","cyclic nucleotide binding domain containing 1"
"243","1552588_a_at","CNBD1","cyclic nucleotide binding domain containing 1"
"244","1552590_a_at","ABCC12","ATP binding cassette subfamily C member 12"
"245","1552592_at","MMP21","matrix metallopeptidase 21"
"246","1552594_at","TMEM190","transmembrane protein 190"
"247","1552596_at","GAS2L2","growth arrest specific 2 like 2"
"248","1552598_at","KCNG4","potassium voltage-gated channel modifier subfamily G member 4"
"249","1552599_at","PXT1","peroxisomal testis enriched protein 1"
"250","1552602_at","CACNG5","calcium voltage-gated channel auxiliary subunit gamma 5"
"251","1552604_at","LINC00308","long intergenic non-protein coding RNA 308"
"252","1552605_s_at","LINC00308","long intergenic non-protein coding RNA 308"
"253","1552607_at","FAM223B","family with sequence similarity 223 member B"
"254","1552607_at","FAM223A","family with sequence similarity 223 member A"
"255","1552608_at","WFDC11","WAP four-disulfide core domain 11"
"256","1552609_s_at","IFNL3","interferon lambda 3"
"257","1552609_s_at","IFNL2","interferon lambda 2"
"258","1552610_a_at","JAK1","Janus kinase 1"
"259","1552611_a_at","JAK1","Janus kinase 1"
"260","1552612_at","CDC42SE2","CDC42 small effector 2"
"261","1552613_s_at","CDC42SE2","CDC42 small effector 2"
"262","1552615_at","ACACB","acetyl-CoA carboxylase beta"
"263","1552616_a_at","ACACB","acetyl-CoA carboxylase beta"
"264","1552617_a_at","COP1","COP1 E3 ubiquitin ligase"
"265","1552618_at","STX6","syntaxin 6"
"266","1552619_a_at","ANLN","anillin actin binding protein"
"267","1552620_at","SPRR4","small proline rich protein 4"
"268","1552621_at","POLR2J","RNA polymerase II subunit J"
"269","1552621_at","POLR2J2","RNA polymerase II subunit J2"
"270","1552621_at","POLR2J3","RNA polymerase II subunit J3"
"271","1552621_at","UPK3BL1","uroplakin 3B like 1"
"272","1552622_s_at","POLR2J","RNA polymerase II subunit J"
"273","1552622_s_at","POLR2J2","RNA polymerase II subunit J2"
"274","1552622_s_at","LOC441259","PMS1 homolog 2, mismatch repair system component pseudogene"
"275","1552622_s_at","POLR2J3","RNA polymerase II subunit J3"
"276","1552622_s_at","UPK3BL1","uroplakin 3B like 1"
"277","1552623_at","HSH2D","hematopoietic SH2 domain containing"
"278","1552625_a_at","TRNT1","tRNA nucleotidyl transferase 1"
"279","1552626_a_at","TMEM163","transmembrane protein 163"
"280","1552627_a_at","ARHGAP5","Rho GTPase activating protein 5"
"281","1552628_a_at","HERPUD2","HERPUD family member 2"
"282","1552629_a_at","JMJD6","jumonji domain containing 6, arginine demethylase and lysine hydroxylase"
"283","1552630_a_at","SRCAP","Snf2 related CREBBP activator protein"
"284","1552631_a_at","MAP3K6","mitogen-activated protein kinase kinase kinase 6"
"285","1552632_a_at","ARSG","arylsulfatase G"
"286","1552633_at","ZNF101","zinc finger protein 101"
"287","1552634_a_at","ZNF101","zinc finger protein 101"
"288","1552637_at","PTPN11","protein tyrosine phosphatase non-receptor type 11"
"289","1552639_at","KLHDC7B","kelch domain containing 7B"
"290","1552641_s_at","ATAD3B","ATPase family AAA domain containing 3B"
"291","1552641_s_at","ATAD3A","ATPase family AAA domain containing 3A"
"292","1552643_at","ZNF626","zinc finger protein 626"
"293","1552644_a_at","PHC3","polyhomeotic homolog 3"
"294","1552646_at","IL11RA","interleukin 11 receptor subunit alpha"
"295","1552648_a_at","TNFRSF10A","TNF receptor superfamily member 10a"
"296","1552649_a_at","RFFL","ring finger and FYVE like domain containing E3 ubiquitin protein ligase"
"297","1552649_a_at","RAD51L3-RFFL","RAD51L3-RFFL readthrough"
"298","1552651_a_at","RFFL","ring finger and FYVE like domain containing E3 ubiquitin protein ligase"
"299","1552651_a_at","RAD51L3-RFFL","RAD51L3-RFFL readthrough"
"300","1552652_at","HPS4","HPS4 biogenesis of lysosomal organelles complex 3 subunit 2"
"301","1552656_s_at","UHMK1","U2AF homology motif kinase 1"
"302","1552657_a_at","TXNDC2","thioredoxin domain containing 2"
"303","1552658_a_at","NAV3","neuron navigator 3"
"304","1552660_a_at","C5orf22","chromosome 5 open reading frame 22"
"305","1552661_at","PCDHGB7","protocadherin gamma subfamily B, 7"
"306","1552662_a_at","PCDHGB7","protocadherin gamma subfamily B, 7"
"307","1552663_a_at","ERC1","ELKS/RAB6-interacting/CAST family member 1"
"308","1552664_at","FLCN","folliculin"
"309","1552665_at","JMJD1C-AS1","JMJD1C antisense RNA 1"
"310","1552666_a_at","LRRC7","leucine rich repeat containing 7"
"311","1552667_a_at","SH2D3C","SH2 domain containing 3C"
"312","1552669_at","PPP1R3B","protein phosphatase 1 regulatory subunit 3B"
"313","1552670_a_at","PPP1R3B","protein phosphatase 1 regulatory subunit 3B"
"314","1552671_a_at","SLC9A7","solute carrier family 9 member A7"
"315","1552672_a_at","IGSF3","immunoglobulin superfamily member 3"
"316","1552673_at","RFX6","regulatory factor X6"
"317","1552674_at","DIRC1","disrupted in renal carcinoma 1"
"318","1552675_at","DNAJB7","DnaJ heat shock protein family (Hsp40) member B7"
"319","1552676_at","UCN3","urocortin 3"
"320","1552677_a_at","DIP2A","disco interacting protein 2 homolog A"
"321","1552678_a_at","USP28","ubiquitin specific peptidase 28"
"322","1552680_a_at","KNL1","kinetochore scaffold 1"
"323","1552682_a_at","KNL1","kinetochore scaffold 1"
"324","1552684_a_at","SENP8","SUMO peptidase family member, NEDD8 specific"
"325","1552685_a_at","GRHL1","grainyhead like transcription factor 1"
"326","1552686_at","CNBD2","cyclic nucleotide binding domain containing 2"
"327","1552687_a_at","CNBD2","cyclic nucleotide binding domain containing 2"
"328","1552689_at","CASKIN1","CASK interacting protein 1"
"329","1552690_a_at","CACNA2D4","calcium voltage-gated channel auxiliary subunit alpha2delta 4"
"330","1552691_at","ARL11","ADP ribosylation factor like GTPase 11"
"331","1552693_at","ARL11","ADP ribosylation factor like GTPase 11"
"332","1552694_at","SLC2A13","solute carrier family 2 member 13"
"333","1552695_a_at","SLC2A13","solute carrier family 2 member 13"
"334","1552696_at","NIPA1","NIPA magnesium transporter 1"
"335","1552698_at","TUBA3FP","tubulin alpha 3f pseudogene"
"336","1552701_a_at","CARD16","caspase recruitment domain family member 16"
"337","1552703_s_at","CARD16","caspase recruitment domain family member 16"
"338","1552703_s_at","CASP1","caspase 1"
"339","1552705_at","DUSP19","dual specificity phosphatase 19"
"340","1552708_a_at","DUSP19","dual specificity phosphatase 19"
"341","1552711_a_at","CYB5D1","cytochrome b5 domain containing 1"
"342","1552712_a_at","NMNAT2","nicotinamide nucleotide adenylyltransferase 2"
"343","1552713_a_at","SLC4A1","solute carrier family 4 member 1 (Diego blood group)"
"344","1552714_at","CREG2","cellular repressor of E1A stimulated genes 2"
"345","1552715_a_at","RXFP1","relaxin family peptide receptor 1"
"346","1552716_at","SPEF2","sperm flagellar 2"
"347","1552717_s_at","CEP170P1","centrosomal protein 170 pseudogene 1"
"348","1552717_s_at","CEP170","centrosomal protein 170"
"349","1552718_at","DTD1","D-aminoacyl-tRNA deacylase 1"
"350","1552719_at","CASC4","cancer susceptibility 4"
"351","1552721_a_at","FGF1","fibroblast growth factor 1"
"352","1552722_at","ARPP21","cAMP regulated phosphoprotein 21"
"353","1552724_at","RHOXF1","Rhox homeobox family member 1"
"354","1552725_s_at","ADAMTS17","ADAM metallopeptidase with thrombospondin type 1 motif 17"
"355","1552726_at","ADAMTS17","ADAM metallopeptidase with thrombospondin type 1 motif 17"
"356","1552727_s_at","ADAMTS17","ADAM metallopeptidase with thrombospondin type 1 motif 17"
"357","1552729_at","SNHG7","small nucleolar RNA host gene 7"
"358","1552729_at","SNORA17A","small nucleolar RNA, H/ACA box 17A"
"359","1552729_at","SNORA17B","small nucleolar RNA, H/ACA box 17B"
"360","1552730_at","DHH","desert hedgehog signaling molecule"
"361","1552731_at","ABRA","actin binding Rho activating protein"
"362","1552732_at","ABRA","actin binding Rho activating protein"
"363","1552733_at","KLHDC1","kelch domain containing 1"
"364","1552734_at","RICTOR","RPTOR independent companion of MTOR complex 2"
"365","1552735_at","PCDHGC3","protocadherin gamma subfamily C, 3"
"366","1552735_at","PCDHGA4","protocadherin gamma subfamily A, 4"
"367","1552736_a_at","NETO1","neuropilin and tolloid like 1"
"368","1552737_s_at","WWP2","WW domain containing E3 ubiquitin protein ligase 2"
"369","1552738_a_at","ST7L","suppression of tumorigenicity 7 like"
"370","1552739_s_at","ST7L","suppression of tumorigenicity 7 like"
"371","1552740_at","C2orf15","chromosome 2 open reading frame 15"
"372","1552742_at","KCNH8","potassium voltage-gated channel subfamily H member 8"
"373","1552743_at","MCF2L","MCF.2 cell line derived transforming sequence like"
"374","1552745_at","SLCO6A1","solute carrier organic anion transporter family member 6A1"
"375","1552747_a_at","PP2D1","protein phosphatase 2C like domain containing 1"
"376","1552749_a_at","KLC3","kinesin light chain 3"
"377","1552750_at","CIB3","calcium and integrin binding family member 3"
"378","1552751_a_at","CIB3","calcium and integrin binding family member 3"
"379","1552752_a_at","CADM2","cell adhesion molecule 2"
"380","1552754_a_at","CADM2","cell adhesion molecule 2"
"381","1552755_at","DOCK8-AS1","DOCK8 antisense RNA 1"
"382","1552757_s_at","DOCK8-AS1","DOCK8 antisense RNA 1"
"383","1552758_at","HDAC9","histone deacetylase 9"
"384","1552760_at","HDAC9","histone deacetylase 9"
"385","1552761_at","SLC16A11","solute carrier family 16 member 11"
"386","1552763_at","TMEM67","transmembrane protein 67"
"387","1552765_x_at","TMEM67","transmembrane protein 67"
"388","1552766_at","HS6ST2","heparan sulfate 6-O-sulfotransferase 2"
"389","1552767_a_at","HS6ST2","heparan sulfate 6-O-sulfotransferase 2"
"390","1552768_at","CAMKK1","calcium/calmodulin dependent protein kinase kinase 1"
"391","1552769_at","ZNF625","zinc finger protein 625"
"392","1552770_s_at","ZNF563","zinc finger protein 563"
"393","1552771_a_at","LIN9","lin-9 DREAM MuvB core complex component"
"394","1552772_at","CLEC4D","C-type lectin domain family 4 member D"
"395","1552773_at","CLEC4D","C-type lectin domain family 4 member D"
"396","1552774_a_at","SLC25A27","solute carrier family 25 member 27"
"397","1552775_at","GPRC6A","G protein-coupled receptor class C group 6 member A"
"398","1552777_a_at","RAET1E","retinoic acid early transcript 1E"
"399","1552779_a_at","SLC44A5","solute carrier family 44 member 5"
"400","1552782_at","SLC44A5","solute carrier family 44 member 5"
"401","1552783_at","ZNF417","zinc finger protein 417"
"402","1552785_at","ZNF781","zinc finger protein 781"
"403","1552787_at","HELB","DNA helicase B"
"404","1552788_a_at","HELB","DNA helicase B"
"405","1552789_at","SEC62","SEC62 homolog, preprotein translocation factor"
"406","1552790_a_at","SEC62","SEC62 homolog, preprotein translocation factor"
"407","1552791_a_at","TRDN","triadin"
"408","1552792_at","SOCS4","suppressor of cytokine signaling 4"
"409","1552793_at","C8orf31","chromosome 8 open reading frame 31"
"410","1552794_a_at","ZNF547","zinc finger protein 547"
"411","1552796_a_at","SIM1","SIM bHLH transcription factor 1"
"412","1552797_s_at","PROM2","prominin 2"
"413","1552798_a_at","TLR4","toll like receptor 4"
"414","1552799_at","TSNARE1","t-SNARE domain containing 1"
"415","1552800_at","ABHD11","abhydrolase domain containing 11"
"416","1552801_at","CAPN13","calpain 13"
"417","1552803_a_at","STMN1","stathmin 1"
"418","1552804_a_at","TIRAP","TIR domain containing adaptor protein"
"419","1552806_a_at","SIGLEC10","sialic acid binding Ig like lectin 10"
"420","1552807_a_at","SIGLEC10","sialic acid binding Ig like lectin 10"
"421","1552808_at","ADAMTSL1","ADAMTS like 1"
"422","1552809_at","RFX4","regulatory factor X4"
"423","1552811_at","WFIKKN1","WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1"
"424","1552812_a_at","SENP1","SUMO specific peptidase 1"
"425","1552813_at","KLF14","Kruppel like factor 14"
"426","1552814_a_at","KLF14","Kruppel like factor 14"
"427","1552816_at","NXNL2","nucleoredoxin like 2"
"428","1552818_a_at","BRS3","bombesin receptor subtype 3"
"429","1552819_at",NA,NA
"430","1552822_at","TMX3","thioredoxin related transmembrane protein 3"
"431","1552825_at","ZNF396","zinc finger protein 396"
"432","1552826_at","SLC26A7","solute carrier family 26 member 7"
"433","1552827_s_at","SLC26A7","solute carrier family 26 member 7"
"434","1552828_at","SNX18","sorting nexin 18"
"435","1552829_at",NA,NA
"436","1552830_at","FBXO39","F-box protein 39"
"437","1552833_at","B3GNT6","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6"
"438","1552834_at","B3GNT6","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6"
"439","1552835_at","DENND1B","DENN domain containing 1B"
"440","1552836_at","ZNF619","zinc finger protein 619"
"441","1552837_at","ICK","intestinal cell kinase"
